"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN144518_c0_g1_i3"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__"	"TRINITY_DN144518_c0_g1_i3"	-0.831655489905492	0.0401243800094586
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN141713_c1_g2_i3"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN131149_c0_g2_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN131149_c0_g2_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN131149_c0_g2_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN131149_c0_g2_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"TRINITY_DN131100_c0_g1_i5"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"TRINITY_DN131100_c0_g1_i5"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"TRINITY_DN131100_c0_g1_i5"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN144823_c1_g2_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN144823_c1_g2_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN144823_c1_g2_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN144823_c1_g2_i1"	-0.880406274042429	0.0205987347749206
"k__Bacteria.p__Bacteroidetes"	"TRINITY_DN142739_c1_g1_i1"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia"	"TRINITY_DN142739_c1_g1_i1"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales"	"TRINITY_DN142739_c1_g1_i1"	-0.94112394811432	0.00509754056486145
"k__Bacteria.p__Firmicutes.c__Clostridia"	"TRINITY_DN135950_c1_g1_i1"	0.853310335187925	0.0306985629726779
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales"	"TRINITY_DN135950_c1_g1_i1"	0.853310335187925	0.0306985629726779
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas"	"TRINITY_DN135950_c1_g1_i1"	0.812897019324939	0.049236281894145
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN135950_c1_g1_i1"	0.912159323821574	0.0112350879440595
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__"	"TRINITY_DN135950_c1_g1_i1"	0.812897019324939	0.049236281894145
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN135950_c1_g1_i1"	0.912159323821574	0.0112350879440595
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	"TRINITY_DN136156_c0_g2_i2"	0.819688599970537	0.0458371412324534
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN136156_c0_g2_i2"	0.819688599970537	0.0458371412324534
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	"TRINITY_DN137258_c5_g1_i6"	0.985610760609162	0.000309085667849818
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium"	"TRINITY_DN137631_c5_g1_i2"	-0.892369614796338	0.0167530384027113
