transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN140278_c0_g1_i2	3	4	0	0	0	0
TRINITY_DN145064_c0_g1_i3	4	0	1	0	0	0
TRINITY_DN145548_c1_g1_i5	4	0	1	0	0	0
TRINITY_DN131149_c0_g2_i1	3	0	1	0	0	0
TRINITY_DN144266_c6_g1_i2	1	3	0	0	0	0
TRINITY_DN140714_c1_g2_i12	2	2	0	0	0	0
TRINITY_DN145565_c2_g1_i1	1	0	3	0	0	0
TRINITY_DN143926_c4_g2_i1	1	0	2	0	0	0
TRINITY_DN144558_c2_g1_i2	2	0	1	0	0	0
TRINITY_DN144720_c1_g1_i6	1	0	1	0	0	0
TRINITY_DN134023_c3_g2_i2	1	0	1	0	0	0
TRINITY_DN139539_c6_g2_i2	1	0	1	0	0	0
TRINITY_DN144690_c1_g2_i6	69	0	0	79	5	13
TRINITY_DN145548_c0_g2_i1	0	0	0	3	2	1
TRINITY_DN145391_c5_g1_i9	0	0	0	126	8	8
TRINITY_DN141567_c4_g1_i3	0	0	0	2	28	1
TRINITY_DN138484_c2_g1_i1	0	0	0	1	15	2
TRINITY_DN85531_c0_g1_i1	0	0	0	5	1	9
TRINITY_DN144738_c1_g2_i2	0	0	0	1	2	5
TRINITY_DN145252_c3_g1_i1	2	0	0	3529	0	24
TRINITY_DN145272_c4_g1_i1	24	0	0	1904	0	9
TRINITY_DN143018_c39_g5_i2	0	681	0	0	652	60
TRINITY_DN145347_c5_g1_i1	2	0	0	1115	0	16
TRINITY_DN144291_c5_g7_i1	19	0	0	1047	0	22
TRINITY_DN612198_c2_g1_i1	13	0	0	513	0	105
TRINITY_DN145291_c1_g1_i13	13	0	0	605	0	11
TRINITY_DN145839_c0_g1_i20	4	0	0	618	0	5
TRINITY_DN145291_c1_g1_i10	11	0	0	579	0	6
TRINITY_DN144415_c2_g1_i4	27	0	0	522	0	31
TRINITY_DN144673_c2_g1_i6	3	0	0	419	0	4
TRINITY_DN145330_c0_g1_i15	6	0	0	350	0	1
TRINITY_DN140265_c7_g4_i1	80	0	0	215	0	58
TRINITY_DN145601_c1_g1_i10	3	0	0	291	0	2
TRINITY_DN144904_c4_g1_i4	6	0	0	202	0	7
TRINITY_DN615414_c0_g1_i1	1	0	0	194	0	10
TRINITY_DN139686_c3_g9_i1	8	0	0	174	0	18
TRINITY_DN140597_c1_g8_i2	0	2	0	179	0	13
TRINITY_DN145595_c1_g1_i27	56	0	0	83	0	24
TRINITY_DN145467_c1_g1_i7	47	0	0	91	0	10
TRINITY_DN145291_c1_g1_i22	4	0	0	135	0	4
TRINITY_DN70273_c9_g3_i1	69	0	0	0	4	65
TRINITY_DN144868_c24_g1_i1	54	0	0	0	6	54
TRINITY_DN151468_c5_g1_i1	0	0	95	1	0	3
TRINITY_DN145290_c2_g1_i6	9	0	0	76	0	11
TRINITY_DN142739_c1_g1_i1	10	0	0	0	7	73
TRINITY_DN143841_c3_g1_i3	0	0	5	79	0	1
TRINITY_DN145797_c2_g1_i3	8	0	0	51	0	21
TRINITY_DN145673_c1_g1_i3	0	0	15	55	0	4
TRINITY_DN145367_c3_g1_i1	8	0	0	0	15	49
TRINITY_DN142196_c2_g1_i1	0	0	55	12	0	3
TRINITY_DN133276_c1_g1_i1	22	0	0	0	33	10
TRINITY_DN138681_c7_g1_i1	5	0	0	0	57	2
TRINITY_DN145091_c0_g1_i5	0	0	50	4	0	6
TRINITY_DN145245_c6_g1_i5	33	0	0	0	14	8
TRINITY_DN142728_c2_g1_i1	4	0	0	8	0	31
TRINITY_DN144057_c3_g1_i1	5	0	0	33	4	0
TRINITY_DN144056_c2_g3_i1	29	0	0	9	0	4
TRINITY_DN142405_c1_g1_i4	3	0	0	33	0	2
TRINITY_DN144025_c2_g1_i1	24	0	0	0	12	1
TRINITY_DN142526_c5_g1_i7	2	0	0	32	0	2
TRINITY_DN140335_c2_g3_i2	5	0	0	8	0	21
TRINITY_DN145394_c1_g1_i1	0	0	16	10	0	4
TRINITY_DN145062_c3_g1_i3	0	0	0	14	0	16
TRINITY_DN145457_c2_g1_i4	8	0	0	2	0	17
TRINITY_DN143173_c7_g3_i1	7	0	0	14	0	6
TRINITY_DN144754_c1_g1_i1	19	0	0	2	0	4
TRINITY_DN120464_c0_g1_i1	2	0	0	19	0	1
TRINITY_DN140481_c3_g1_i5	0	0	2	8	0	11
TRINITY_DN142694_c6_g2_i1	0	0	2	17	0	1
TRINITY_DN145537_c1_g1_i9	0	0	9	7	0	3
TRINITY_DN143140_c4_g1_i1	0	0	1	1	0	18
TRINITY_DN133942_c0_g1_i2	9	0	0	7	0	1
TRINITY_DN143050_c3_g1_i3	0	0	4	10	0	2
TRINITY_DN137072_c1_g1_i18	1	0	0	7	0	8
TRINITY_DN145841_c0_g1_i8	0	0	0	14	0	0
TRINITY_DN143457_c1_g1_i1	0	0	1	8	0	5
TRINITY_DN145645_c0_g1_i6	5	0	0	4	5	0
TRINITY_DN145391_c5_g1_i6	9	0	0	0	0	4
TRINITY_DN145014_c1_g1_i1	1	0	0	1	0	10
TRINITY_DN132978_c2_g1_i3	0	6	0	4	0	2
TRINITY_DN145304_c3_g1_i2	1	0	0	6	0	4
TRINITY_DN144825_c5_g1_i5	2	0	0	1	0	8
TRINITY_DN130289_c0_g1_i1	1	0	0	8	0	2
TRINITY_DN144056_c2_g3_i3	5	0	0	4	0	2
TRINITY_DN145708_c0_g1_i3	0	0	0	9	0	2
TRINITY_DN142340_c0_g1_i1	3	0	0	7	0	1
TRINITY_DN144196_c3_g1_i2	7	0	0	0	3	1
TRINITY_DN143091_c2_g2_i10	3	0	0	3	0	4
TRINITY_DN145700_c5_g7_i2	0	0	1	1	0	8
TRINITY_DN145389_c1_g1_i12	0	0	7	1	0	2
TRINITY_DN142591_c7_g1_i1	0	0	1	7	0	1
TRINITY_DN142590_c2_g1_i1	0	0	6	0	1	2
TRINITY_DN145021_c4_g1_i1	4	0	0	1	0	3
TRINITY_DN137854_c1_g2_i2	1	0	0	5	0	2
TRINITY_DN147329_c0_g1_i1	6	0	0	1	0	1
TRINITY_DN137096_c3_g3_i1	2	0	0	1	0	4
TRINITY_DN139720_c6_g2_i1	0	0	1	5	0	1
TRINITY_DN133479_c0_g1_i1	1	0	0	3	0	2
TRINITY_DN140808_c1_g1_i13	3	0	0	2	0	1
TRINITY_DN143099_c2_g1_i1	0	0	1	3	0	2
TRINITY_DN143469_c1_g1_i1	0	0	2	2	0	2
TRINITY_DN144236_c2_g1_i14	3	0	0	0	0	3
TRINITY_DN142324_c2_g1_i4	3	0	0	2	0	1
TRINITY_DN142178_c2_g1_i3	1	0	0	3	0	2
TRINITY_DN135774_c6_g7_i1	2	0	0	2	0	1
TRINITY_DN143049_c3_g5_i1	0	0	2	2	0	1
TRINITY_DN145228_c1_g1_i7	1	0	0	2	0	2
TRINITY_DN143620_c2_g1_i2	0	0	2	1	0	2
TRINITY_DN141869_c2_g1_i3	1	0	0	0	0	3
TRINITY_DN142511_c2_g2_i11	0	0	1	2	0	1
TRINITY_DN141159_c10_g1_i1	0	0	1	1	0	2
TRINITY_DN140874_c2_g1_i5	0	0	1	1	0	2
TRINITY_DN144231_c2_g2_i1	1	0	0	1	0	2
TRINITY_DN140265_c7_g4_i2	1	0	0	1	0	1
TRINITY_DN144797_c1_g1_i1	0	0	1	1	0	2
TRINITY_DN135893_c0_g2_i1	1	0	0	1	0	1
TRINITY_DN136312_c3_g1_i18	0	0	1	1	0	1
TRINITY_DN144751_c7_g1_i5	1	0	0	1	0	1
TRINITY_DN145366_c17_g1_i3	1	0	0	1	0	1
TRINITY_DN142969_c1_g1_i4	1	0	0	1	0	0
TRINITY_DN144933_c6_g1_i2	0	0	0	1	0	715
TRINITY_DN145055_c3_g1_i3	0	0	0	136	0	50
TRINITY_DN142424_c1_g1_i2	0	0	0	1	0	71
TRINITY_DN143863_c3_g1_i1	0	0	0	66	0	1
